Date,Actual,Forecasted,Error
26-04-2022,2775.65,2781.647,0.2160575
27-04-2022,2738.35,2783.977,1.66622236
28-04-2022,2819.85,2786.309,1.189460432
29-04-2022,2790.25,2788.643,0.057593406
02-05-2022,2780.45,2790.979,0.37867971
,,,
,,,
,,0.620206034,
